Товар,Категория,Остаток,Цена,Тип дня,Спрос
Майонез оливковый,Соусы,1,261.29,будни,14
Энергетик,Напитки,31,455.97,будни,3
Сыр Российский,Молочные продукты,62,254.94,праздник,39
Лимонад,Напитки,3,58.81,будни,18
Лук репчатый,Овощи,47,105.17,выходной,40
"Кефир 3,2%",Молочные продукты,95,277.17,будни,6
Кофе молотый,Напитки,8,173.97,будни,10
Лавровый лист,Специи,2,303.63,выходной,34
Яблоки Гренни,Фрукты,99,126.81,будни,17
Лимонад,Напитки,6,103.7,выходной,16
Печенье овсяное,Кондитерские изделия,17,422.1,выходной,8
Мука пшеничная,Бакалея,49,463.85,выходной,30
Пиво светлое,Алкоголь,6,1057.98,выходной,2
Майонез оливковый,Соусы,1,498.2,праздник,21
Сметана 15%,Молочные продукты,46,443.67,будни,10
Зефир ванильный,Кондитерские изделия,34,356.17,выходной,14
Бананы,Фрукты,33,110.68,выходной,2
Свинина отбивная,Мясо,48,380.81,выходной,34
Бананы,Фрукты,98,149.53,будни,12
Сухарики ржаные,Снеки,17,253.09,будни,17
Зефир ванильный,Кондитерские изделия,35,361.85,будни,15
Апельсины,Фрукты,57,161.97,выходной,32
Масло сливочное,Молочные продукты,76,335.65,будни,14
Колбаса докторская,Мясные изделия,21,147.3,будни,3
Шоколад молочный,Кондитерские изделия,37,208.69,выходной,38
Соль йодированная,Бакалея,26,401.51,будни,12
Перец черный молотый,Специи,46,256.41,будни,19
Кетчуп томатный,Соусы,18,294.56,выходной,36
Лук репчатый,Овощи,53,191.07,праздник,54
"Кефир 3,2%",Молочные продукты,46,465.59,будни,9
Сок апельсиновый,Напитки,34,490.56,будни,3
Апельсины,Фрукты,41,177.67,будни,12
Морковь столовая,Овощи,34,109.2,выходной,48
Йогурт греческий,Молочные продукты,55,66.64,выходной,34
Рис Басмати,Крупы,22,87.24,будни,5
Сыр Российский,Молочные продукты,99,375.57,выходной,16
Мёд цветочный,Сладости,47,285.35,будни,19
Сахар песок,Бакалея,34,142.98,выходной,8
Масло сливочное,Молочные продукты,66,321.39,будни,15
Яйца куриные (10 шт),Яйца,45,401.98,выходной,38
Гречка ядрица,Крупы,14,200.28,будни,15
Гречка ядрица,Крупы,21,177.51,будни,14
Рис Басмати,Крупы,21,140.12,будни,16
Огурцы грунтовые,Овощи,63,130.56,будни,28
Яйца куриные (10 шт),Яйца,43,483.32,будни,10
"Кефир 3,2%",Молочные продукты,56,355.77,будни,14
Картофель молодой,Овощи,22,195.43,выходной,48
Яблоки Гренни,Фрукты,26,109.82,будни,11
Сахар песок,Бакалея,36,108.48,будни,2
Курица охлажденная,Мясо,11,504.48,будни,19
"Молоко 2,5%",Молочные продукты,43,135.1,будни,3
Мука пшеничная,Бакалея,39,468.61,выходной,8
Печенье овсяное,Кондитерские изделия,4,313.63,будни,11
Колбаса докторская,Мясные изделия,25,190.87,выходной,26
Лавровый лист,Специи,13,64.06,будни,18
Вода минеральная,Напитки,45,490.17,будни,18
Картофель молодой,Овощи,99,164.5,выходной,46
Вино красное,Алкоголь,32,804.08,выходной,2
Говядина вырезка,Мясо,4,743.34,будни,6
Говядина вырезка,Мясо,18,551.57,выходной,6
Сметана 15%,Молочные продукты,13,315.61,выходной,34
Сыр Российский,Молочные продукты,41,471.31,будни,3
Пиво светлое,Алкоголь,32,795.73,будни,1
Энергетик,Напитки,11,205.33,праздник,9
Говядина вырезка,Мясо,42,397.9,будни,4
Сок апельсиновый,Напитки,45,28.75,будни,6
Пиво светлое,Алкоголь,22,292.55,будни,7
Сахар песок,Бакалея,9,31.17,выходной,16
Зефир ванильный,Кондитерские изделия,6,76.72,выходной,26
Чипсы картофельные,Снеки,10,441.19,выходной,8
Апельсины,Фрукты,45,76.62,выходной,12
Пиво светлое,Алкоголь,48,1151.14,будни,1
Майонез оливковый,Соусы,38,298.66,выходной,16
Лимонад,Напитки,36,134.53,выходной,4
Гречка ядрица,Крупы,24,134.35,будни,8
Майонез оливковый,Соусы,19,416.7,будни,9
Яблоки Гренни,Фрукты,58,58.02,праздник,12
Яблоки Гренни,Фрукты,85,103.24,праздник,51
Сок апельсиновый,Напитки,18,256.65,будни,7
Сметана 15%,Молочные продукты,21,177.76,выходной,20
Вино красное,Алкоголь,22,1215.68,будни,5
Мармелад фруктовый,Кондитерские изделия,38,498.05,будни,10
Пиво светлое,Алкоголь,22,909.69,выходной,10
Хлеб бородинский,Хлебобулочные изделия,11,350.25,выходной,12
Лук репчатый,Овощи,16,113.91,будни,5
Курица охлажденная,Мясо,49,745.95,будни,3
Лавровый лист,Специи,36,131.95,будни,7
Чипсы картофельные,Снеки,0,442.57,будни,11
Масло сливочное,Молочные продукты,98,304.11,будни,12
Сок апельсиновый,Напитки,18,393.03,будни,9
Соль йодированная,Бакалея,9,455.05,будни,1
Йогурт греческий,Молочные продукты,54,25.45,будни,4
Бананы,Фрукты,81,67.63,выходной,4
"Молоко 2,5%",Молочные продукты,12,300.02,праздник,6
Майонез оливковый,Соусы,24,436.93,будни,17
"Кефир 3,2%",Молочные продукты,67,25.83,праздник,6
Хлеб бородинский,Хлебобулочные изделия,20,40.83,выходной,8
Энергетик,Напитки,35,285.85,праздник,33
Морковь столовая,Овощи,56,144.41,выходной,46
Сок апельсиновый,Напитки,0,321.23,будни,13
Картофель молодой,Овощи,96,56.82,будни,26
Лимонад,Напитки,15,447.33,будни,18
Перец черный молотый,Специи,7,101.45,выходной,38
Яйца куриные (10 шт),Яйца,49,147.65,будни,15
Вино красное,Алкоголь,26,1107.61,будни,9
Кофе молотый,Напитки,19,309.34,будни,11
Лосось стейк,Рыба и морепродукты,45,338.1,выходной,2
Сметана 15%,Молочные продукты,56,461.2,будни,16
Вода минеральная,Напитки,49,284.76,будни,13
Кофе молотый,Напитки,0,250.58,праздник,18
Свинина отбивная,Мясо,20,674.79,будни,6
Соль йодированная,Бакалея,48,422.4,будни,10
Пиво светлое,Алкоголь,0,217.77,будни,2
Перец черный молотый,Специи,16,276.49,выходной,6
Йогурт греческий,Молочные продукты,62,300.87,выходной,12
Говядина вырезка,Мясо,9,488.93,будни,16
Курица охлажденная,Мясо,45,425.72,будни,6
Творог 5%,Молочные продукты,71,441.55,выходной,26
Чай черный,Напитки,27,148.96,будни,4
Чай черный,Напитки,2,269.68,выходной,30
Джем клубничный,Сладости,4,62.44,выходной,12
Лук репчатый,Овощи,56,113.08,выходной,10
Помидоры черри,Овощи,75,170.76,выходной,26
Чай черный,Напитки,37,311.88,выходной,24
Огурцы грунтовые,Овощи,60,185.62,будни,29
Шоколад молочный,Кондитерские изделия,32,396.15,будни,11
Мармелад фруктовый,Кондитерские изделия,16,475.77,будни,13
Лук репчатый,Овощи,83,165.34,будни,5
Сметана 15%,Молочные продукты,43,317.99,будни,19
Мёд цветочный,Сладости,42,135.27,будни,4
Гречка ядрица,Крупы,15,92.91,будни,5
Яйца куриные (10 шт),Яйца,3,107.3,будни,17
Йогурт греческий,Молочные продукты,76,267.31,праздник,15
Яблоки Гренни,Фрукты,30,75.34,будни,19
Рис Басмати,Крупы,20,283.38,будни,3
Колбаса докторская,Мясные изделия,25,449.22,будни,11
Сахар песок,Бакалея,44,174.36,будни,2
Хлеб бородинский,Хлебобулочные изделия,21,59.24,выходной,28
Кетчуп томатный,Соусы,16,152.9,выходной,12
Майонез оливковый,Соусы,34,108.57,будни,19
Рис Басмати,Крупы,13,316.76,будни,1
Макароны спагетти,Макаронные изделия,1,378.79,будни,7
Масло сливочное,Молочные продукты,12,449.7,будни,2
Хлеб бородинский,Хлебобулочные изделия,44,436.26,будни,19
Огурцы грунтовые,Овощи,73,90.39,будни,5
Говядина вырезка,Мясо,38,461.04,будни,9
Сахар песок,Бакалея,43,131.94,будни,17
Мука пшеничная,Бакалея,3,190.45,выходной,20
Морковь столовая,Овощи,95,138.03,выходной,20
Майонез оливковый,Соусы,43,81.24,будни,3
"Кефир 3,2%",Молочные продукты,61,330.04,будни,15
Чипсы картофельные,Снеки,5,310.77,будни,6
Рис Басмати,Крупы,20,93.37,будни,3
Творог 5%,Молочные продукты,84,62.19,выходной,20
Макароны спагетти,Макаронные изделия,8,58.51,будни,12
Конфеты шоколадные,Кондитерские изделия,36,491.54,будни,1
Сыр Российский,Молочные продукты,93,485.35,выходной,32
"Кефир 3,2%",Молочные продукты,60,414.01,выходной,34
Свинина отбивная,Мясо,7,538.31,выходной,20
Сметана 15%,Молочные продукты,79,484.64,выходной,24
Бананы,Фрукты,29,86.36,будни,19
Сахар песок,Бакалея,13,158.54,будни,8
Свинина отбивная,Мясо,35,460.32,будни,8
"Кефир 3,2%",Молочные продукты,59,238.05,будни,10
Говядина вырезка,Мясо,43,400.87,выходной,20
Бананы,Фрукты,74,70.82,будни,18
Курица охлажденная,Мясо,10,536.58,выходной,20
Пиво светлое,Алкоголь,29,338.71,выходной,14
Джем клубничный,Сладости,49,79.66,выходной,8
Курица охлажденная,Мясо,33,390.62,будни,1
Конфеты шоколадные,Кондитерские изделия,21,43.09,выходной,22
Свинина отбивная,Мясо,40,675.25,выходной,38
Пиво светлое,Алкоголь,20,442.33,будни,5
Помидоры черри,Овощи,35,186.18,будни,12
Мармелад фруктовый,Кондитерские изделия,24,347.83,будни,2
Конфеты шоколадные,Кондитерские изделия,13,451.84,выходной,4
Кофе молотый,Напитки,22,230.6,будни,14
Лук репчатый,Овощи,75,131.53,выходной,26
Печенье овсяное,Кондитерские изделия,5,471.12,выходной,20
Яйца куриные (10 шт),Яйца,41,86.85,выходной,26
Лавровый лист,Специи,32,276.06,выходной,2
Вино красное,Алкоголь,28,397.18,будни,2
Энергетик,Напитки,26,377.09,будни,4
Рис Басмати,Крупы,1,385.98,выходной,38
Кофе молотый,Напитки,37,277.51,будни,1
Чипсы картофельные,Снеки,23,309.9,будни,4
Яйца куриные (10 шт),Яйца,4,253.45,будни,11
Чипсы картофельные,Снеки,1,25.86,будни,13
Вино красное,Алкоголь,35,1131.03,будни,2
Бананы,Фрукты,20,193.86,будни,10
"Кефир 3,2%",Молочные продукты,81,223.33,будни,5
Мёд цветочный,Сладости,11,457.69,будни,1
Морковь столовая,Овощи,98,88.4,выходной,36
Мёд цветочный,Сладости,11,69.06,выходной,32
Сметана 15%,Молочные продукты,46,359.47,будни,18
Перец черный молотый,Специи,30,311.22,будни,3
Лавровый лист,Специи,13,468.5,выходной,6
Гречка ядрица,Крупы,0,74.35,праздник,12
Сухарики ржаные,Снеки,35,79.84,выходной,14
Конфеты шоколадные,Кондитерские изделия,14,211.52,будни,13
Курица охлажденная,Мясо,9,701.43,будни,9
Зефир ванильный,Кондитерские изделия,34,211.12,будни,3
Свинина отбивная,Мясо,37,473.17,будни,17
Чай черный,Напитки,26,237.06,будни,15
Джем клубничный,Сладости,23,297.26,будни,10
Макароны спагетти,Макаронные изделия,32,193.95,будни,15
Рис Басмати,Крупы,25,26.29,выходной,2
Масло сливочное,Молочные продукты,90,481.31,будни,10
Рис Басмати,Крупы,27,276.83,будни,7
Масло сливочное,Молочные продукты,10,168.77,будни,7
Яблоки Гренни,Фрукты,71,80.77,будни,3
Чипсы картофельные,Снеки,28,246.59,будни,7
Морковь столовая,Овощи,10,166.33,будни,13
Сыр Российский,Молочные продукты,47,387.37,будни,8
Яйца куриные (10 шт),Яйца,28,56.24,выходной,6
Говядина вырезка,Мясо,9,748.72,будни,5
Кофе молотый,Напитки,22,489.89,выходной,26
Масло сливочное,Молочные продукты,17,33.01,будни,13
Макароны спагетти,Макаронные изделия,22,342.51,будни,8
Хлеб бородинский,Хлебобулочные изделия,36,105.7,выходной,36
Хлеб бородинский,Хлебобулочные изделия,7,67.73,будни,7
Помидоры черри,Овощи,41,178.35,выходной,28
Творог 5%,Молочные продукты,46,87.72,будни,10
Кетчуп томатный,Соусы,17,26.24,будни,11
Гречка ядрица,Крупы,20,32.74,будни,12
Вино красное,Алкоголь,28,747.85,выходной,16
Хлеб бородинский,Хлебобулочные изделия,4,184.07,будни,17
Сыр Российский,Молочные продукты,76,303.34,будни,14
Сметана 15%,Молочные продукты,46,216.52,будни,17
Чай черный,Напитки,43,125.37,праздник,57
Джем клубничный,Сладости,23,74.83,будни,16
Сухарики ржаные,Снеки,22,403.93,будни,9
Лук репчатый,Овощи,23,161.25,выходной,48
Мука пшеничная,Бакалея,38,124.65,выходной,20
Сухарики ржаные,Снеки,3,83.49,выходной,18
Чай черный,Напитки,22,347.93,выходной,2
Апельсины,Фрукты,51,136.48,будни,3
Лук репчатый,Овощи,46,147.71,выходной,30
Гречка ядрица,Крупы,41,87.21,будни,7
Сок апельсиновый,Напитки,5,371.45,будни,18
Чипсы картофельные,Снеки,6,295.18,выходной,26
Апельсины,Фрукты,71,127.84,будни,18
Мёд цветочный,Сладости,0,59.74,выходной,32
Сахар песок,Бакалея,28,206.86,будни,16
Вино красное,Алкоголь,48,1137.99,выходной,10
Чай черный,Напитки,46,477.96,будни,10
Кофе молотый,Напитки,35,279.12,будни,9
Мёд цветочный,Сладости,16,258.26,будни,8
Чай черный,Напитки,8,390.04,будни,19
Курица охлажденная,Мясо,39,664.09,будни,3
Мёд цветочный,Сладости,39,228.72,будни,9
Йогурт греческий,Молочные продукты,53,484.5,будни,2
Колбаса докторская,Мясные изделия,18,171.01,выходной,38
Майонез оливковый,Соусы,16,476.11,будни,8
Хлеб бородинский,Хлебобулочные изделия,11,280.11,выходной,36
Яйца куриные (10 шт),Яйца,30,407.15,выходной,16
Картофель молодой,Овощи,79,197.09,выходной,18
Колбаса докторская,Мясные изделия,14,352.72,будни,6
Сахар песок,Бакалея,46,41.2,будни,10
Лук репчатый,Овощи,32,133.37,будни,19
Масло сливочное,Молочные продукты,23,77.85,выходной,8
Кетчуп томатный,Соусы,7,486.11,выходной,6
Морковь столовая,Овощи,48,118.27,будни,28
Печенье овсяное,Кондитерские изделия,16,332.08,будни,9
Джем клубничный,Сладости,44,56.94,выходной,32
Конфеты шоколадные,Кондитерские изделия,25,367.89,будни,16
Огурцы грунтовые,Овощи,13,168.61,будни,19
Морковь столовая,Овощи,42,182.9,выходной,56
Сыр Российский,Молочные продукты,64,241.73,праздник,27
Лосось стейк,Рыба и морепродукты,12,491.98,выходной,34
Печенье овсяное,Кондитерские изделия,45,188.34,выходной,24
Лавровый лист,Специи,43,321.2,выходной,16
Хлеб бородинский,Хлебобулочные изделия,9,64.02,будни,14
Бананы,Фрукты,14,159.84,будни,18
Чипсы картофельные,Снеки,13,162.56,выходной,24
Морковь столовая,Овощи,71,138.37,будни,18
Сухарики ржаные,Снеки,14,225.33,будни,5
Макароны спагетти,Макаронные изделия,3,124.76,выходной,2
Энергетик,Напитки,42,302.51,праздник,39
Сухарики ржаные,Снеки,23,244.35,выходной,28
Мука пшеничная,Бакалея,6,495.76,будни,2
Бананы,Фрукты,72,84.59,выходной,32
Сухарики ржаные,Снеки,9,42.53,будни,5
Зефир ванильный,Кондитерские изделия,48,479.49,выходной,2
Сметана 15%,Молочные продукты,14,322.29,будни,12
Курица охлажденная,Мясо,34,598.64,будни,19
Мармелад фруктовый,Кондитерские изделия,34,383.95,выходной,20
Макароны спагетти,Макаронные изделия,2,411.6,будни,12
Хлеб бородинский,Хлебобулочные изделия,24,304.61,будни,19
Чай черный,Напитки,10,441.18,будни,16
Перец черный молотый,Специи,28,446.6,праздник,51
Колбаса докторская,Мясные изделия,41,408.57,выходной,26
Сметана 15%,Молочные продукты,20,61.75,будни,7
Огурцы грунтовые,Овощи,47,88.96,выходной,14
Сахар песок,Бакалея,17,58.9,будни,5
Лосось стейк,Рыба и морепродукты,27,338.07,выходной,8
Конфеты шоколадные,Кондитерские изделия,44,250.68,будни,15
Йогурт греческий,Молочные продукты,65,337.81,будни,17
Лосось стейк,Рыба и морепродукты,44,666.95,будни,12
Картофель молодой,Овощи,49,86.79,будни,27
Кетчуп томатный,Соусы,40,180.32,будни,14
Мармелад фруктовый,Кондитерские изделия,35,316.93,выходной,8
Масло сливочное,Молочные продукты,14,442.82,выходной,34
Сок апельсиновый,Напитки,22,22.47,выходной,22
Вода минеральная,Напитки,38,97.16,выходной,12
Помидоры черри,Овощи,86,126.12,будни,8
Лимонад,Напитки,12,316.12,праздник,39
Лук репчатый,Овощи,69,51.36,выходной,48
Кетчуп томатный,Соусы,5,156.0,будни,15
Зефир ванильный,Кондитерские изделия,31,423.26,будни,18
Огурцы грунтовые,Овощи,46,65.38,выходной,42
Лимонад,Напитки,35,52.56,будни,19
Лук репчатый,Овощи,21,60.1,будни,14
"Молоко 2,5%",Молочные продукты,31,318.04,будни,5
Помидоры черри,Овощи,73,151.41,будни,16
Пиво светлое,Алкоголь,11,231.96,будни,9
"Кефир 3,2%",Молочные продукты,88,413.02,будни,15
Гречка ядрица,Крупы,25,96.29,будни,4
Творог 5%,Молочные продукты,90,69.05,выходной,16
Огурцы грунтовые,Овощи,38,154.05,будни,24
Сыр Российский,Молочные продукты,56,346.64,выходной,34
Соль йодированная,Бакалея,2,476.41,будни,6
Перец черный молотый,Специи,28,472.94,будни,16
Бананы,Фрукты,15,164.01,будни,5
"Молоко 2,5%",Молочные продукты,67,449.17,будни,14
Пиво светлое,Алкоголь,48,1047.17,будни,2
Огурцы грунтовые,Овощи,89,131.48,будни,21
Мука пшеничная,Бакалея,16,63.76,будни,6
Соль йодированная,Бакалея,45,274.57,будни,11
Лавровый лист,Специи,43,35.61,выходной,4
Йогурт греческий,Молочные продукты,29,402.34,будни,1
Помидоры черри,Овощи,80,68.78,выходной,18
Вино красное,Алкоголь,8,460.68,будни,8
Рис Басмати,Крупы,1,402.83,будни,4
Лосось стейк,Рыба и морепродукты,16,305.81,будни,19
Морковь столовая,Овощи,47,93.75,выходной,18
Кофе молотый,Напитки,37,455.75,выходной,10
Макароны спагетти,Макаронные изделия,40,136.18,праздник,48
Лимонад,Напитки,14,259.47,выходной,36
Бананы,Фрукты,42,133.95,будни,11
Кофе молотый,Напитки,1,276.44,выходной,34
Вода минеральная,Напитки,32,415.77,будни,3
Печенье овсяное,Кондитерские изделия,1,489.18,будни,18
Огурцы грунтовые,Овощи,53,65.69,выходной,16
Йогурт греческий,Молочные продукты,15,305.49,выходной,38
Сок апельсиновый,Напитки,31,163.44,выходной,18
Яйца куриные (10 шт),Яйца,49,320.15,выходной,10
Хлеб бородинский,Хлебобулочные изделия,6,337.19,будни,4
"Кефир 3,2%",Молочные продукты,67,396.24,будни,16
Зефир ванильный,Кондитерские изделия,41,230.53,выходной,20
Колбаса докторская,Мясные изделия,22,332.14,будни,9
Яблоки Гренни,Фрукты,64,120.53,выходной,32
Лавровый лист,Специи,31,259.13,будни,17
Морковь столовая,Овощи,92,84.27,праздник,66
Зефир ванильный,Кондитерские изделия,2,59.13,будни,15
Лавровый лист,Специи,14,143.69,будни,9
Вода минеральная,Напитки,20,369.04,выходной,12
Бананы,Фрукты,46,101.89,будни,6
Бананы,Фрукты,69,56.02,выходной,22
Лимонад,Напитки,40,230.54,выходной,6
Вино красное,Алкоголь,1,977.04,выходной,14
Печенье овсяное,Кондитерские изделия,41,496.22,будни,12
Колбаса докторская,Мясные изделия,2,319.02,выходной,30
Огурцы грунтовые,Овощи,35,157.37,выходной,22
Гречка ядрица,Крупы,41,134.02,праздник,54
Энергетик,Напитки,4,53.18,будни,15
Хлеб бородинский,Хлебобулочные изделия,13,267.11,будни,8
Сыр Российский,Молочные продукты,79,333.02,будни,9
Перец черный молотый,Специи,1,431.83,будни,15
"Молоко 2,5%",Молочные продукты,49,307.38,будни,16
Гречка ядрица,Крупы,46,132.64,выходной,6
Помидоры черри,Овощи,89,127.97,будни,9
Вода минеральная,Напитки,40,226.83,будни,3
Мёд цветочный,Сладости,11,359.25,будни,2
Бананы,Фрукты,37,55.5,выходной,4
Энергетик,Напитки,11,247.82,выходной,8
Джем клубничный,Сладости,27,434.82,будни,3
Бананы,Фрукты,87,58.56,будни,9
Бананы,Фрукты,35,55.9,будни,12
"Кефир 3,2%",Молочные продукты,68,171.75,будни,9
Помидоры черри,Овощи,21,72.25,праздник,69
Макароны спагетти,Макаронные изделия,42,28.34,будни,12
Лавровый лист,Специи,38,238.28,будни,16
Гречка ядрица,Крупы,43,275.48,будни,1
Чипсы картофельные,Снеки,15,471.11,выходной,20
Яйца куриные (10 шт),Яйца,49,110.41,выходной,20
Лавровый лист,Специи,31,132.59,праздник,12
Хлеб бородинский,Хлебобулочные изделия,33,337.58,праздник,33
Мёд цветочный,Сладости,9,28.41,будни,11
Сахар песок,Бакалея,7,435.01,выходной,22
Соль йодированная,Бакалея,7,401.84,выходной,12
"Молоко 2,5%",Молочные продукты,28,471.62,выходной,30
Кетчуп томатный,Соусы,4,297.05,будни,2
Сыр Российский,Молочные продукты,73,43.14,праздник,9
Зефир ванильный,Кондитерские изделия,24,437.96,выходной,10
Лосось стейк,Рыба и морепродукты,30,669.22,выходной,22
Шоколад молочный,Кондитерские изделия,45,464.32,будни,12
Чай черный,Напитки,17,441.39,будни,3
Чипсы картофельные,Снеки,10,200.32,будни,9
Масло сливочное,Молочные продукты,98,177.62,выходной,6
Масло сливочное,Молочные продукты,24,353.82,будни,2
Мука пшеничная,Бакалея,32,134.02,будни,6
Джем клубничный,Сладости,37,55.13,выходной,12
Сухарики ржаные,Снеки,13,317.36,будни,17
Йогурт греческий,Молочные продукты,94,434.4,будни,8
"Кефир 3,2%",Молочные продукты,37,32.31,будни,1
Колбаса докторская,Мясные изделия,4,211.43,будни,8
Джем клубничный,Сладости,35,311.79,выходной,30
"Кефир 3,2%",Молочные продукты,55,364.7,праздник,54
Чипсы картофельные,Снеки,20,113.97,будни,13
Хлеб бородинский,Хлебобулочные изделия,14,136.87,выходной,16
Огурцы грунтовые,Овощи,77,190.17,будни,24
Чай черный,Напитки,13,253.22,будни,18
Сухарики ржаные,Снеки,26,466.21,будни,13
Яйца куриные (10 шт),Яйца,15,63.02,выходной,28
Сыр Российский,Молочные продукты,58,488.83,выходной,30
Вода минеральная,Напитки,10,79.15,выходной,12
Печенье овсяное,Кондитерские изделия,12,108.6,будни,1
Майонез оливковый,Соусы,41,108.91,выходной,14
Бананы,Фрукты,77,63.06,выходной,2
Джем клубничный,Сладости,44,323.91,праздник,45
Рис Басмати,Крупы,20,444.42,будни,6
Курица охлажденная,Мясо,14,605.49,будни,5
Мармелад фруктовый,Кондитерские изделия,7,389.57,будни,12
Соль йодированная,Бакалея,36,164.99,выходной,6
Вино красное,Алкоголь,38,1067.81,будни,6
Вино красное,Алкоголь,9,787.3,будни,4
Хлеб бородинский,Хлебобулочные изделия,48,373.7,выходной,28
Апельсины,Фрукты,90,76.77,будни,6
Пиво светлое,Алкоголь,27,468.04,выходной,8
Курица охлажденная,Мясо,13,616.01,будни,15
Мука пшеничная,Бакалея,1,151.78,будни,17
Морковь столовая,Овощи,76,116.41,будни,9
Зефир ванильный,Кондитерские изделия,48,27.59,будни,6
Сухарики ржаные,Снеки,18,309.55,будни,10
Лимонад,Напитки,38,390.86,будни,9
Энергетик,Напитки,32,305.96,будни,4
Кофе молотый,Напитки,5,190.4,будни,9
Майонез оливковый,Соусы,1,341.41,будни,8
Лимонад,Напитки,20,150.15,будни,3
Йогурт греческий,Молочные продукты,53,175.68,будни,1
"Кефир 3,2%",Молочные продукты,11,497.19,выходной,10
Лук репчатый,Овощи,44,159.6,будни,7
Яйца куриные (10 шт),Яйца,21,289.9,праздник,12
Лосось стейк,Рыба и морепродукты,28,645.0,будни,19
Картофель молодой,Овощи,71,113.4,выходной,38
Колбаса докторская,Мясные изделия,16,164.41,праздник,57
Йогурт греческий,Молочные продукты,25,203.61,будни,16
Конфеты шоколадные,Кондитерские изделия,4,373.85,выходной,16
"Молоко 2,5%",Молочные продукты,39,270.06,выходной,28
Морковь столовая,Овощи,81,163.29,будни,9
Картофель молодой,Овощи,85,167.3,выходной,10
Помидоры черри,Овощи,45,95.47,будни,23
Сыр Российский,Молочные продукты,94,186.23,будни,5
"Молоко 2,5%",Молочные продукты,84,416.14,будни,3
Сахар песок,Бакалея,3,439.2,будни,17
Рис Басмати,Крупы,42,295.8,будни,7
Мармелад фруктовый,Кондитерские изделия,11,466.69,будни,17
Морковь столовая,Овощи,54,107.09,выходной,34
Вода минеральная,Напитки,13,406.84,выходной,28
Помидоры черри,Овощи,82,98.38,будни,27
Соль йодированная,Бакалея,1,127.33,праздник,36
Морковь столовая,Овощи,19,173.37,будни,15
Кофе молотый,Напитки,35,311.06,будни,1
Картофель молодой,Овощи,63,174.4,будни,7
Пиво светлое,Алкоголь,40,1272.76,выходной,18
Чай черный,Напитки,7,249.55,будни,2
Огурцы грунтовые,Овощи,77,61.99,выходной,36
Лимонад,Напитки,27,169.67,будни,5
Морковь столовая,Овощи,69,177.72,будни,7
Мёд цветочный,Сладости,1,332.1,будни,12
Сметана 15%,Молочные продукты,92,112.06,будни,12
Свинина отбивная,Мясо,49,328.89,выходной,14
Курица охлажденная,Мясо,22,419.59,будни,1
Курица охлажденная,Мясо,27,451.64,будни,3
Картофель молодой,Овощи,25,59.34,будни,15
Печенье овсяное,Кондитерские изделия,39,410.71,выходной,26
Лавровый лист,Специи,35,272.98,будни,10
Энергетик,Напитки,34,196.52,будни,19
Помидоры черри,Овощи,80,160.04,выходной,16
Сыр Российский,Молочные продукты,71,251.05,будни,5
Огурцы грунтовые,Овощи,30,164.04,будни,15
